name,location,image_url
Babeş-Bolyai Tudományegyetem,Dornavátra,university_images/Babeş-Bolyai Tudományegyetem.webp
Babeş-Bolyai Tudományegyetem,Gyergyószentmiklós,university_images/Babeş-Bolyai Tudományegyetem.webp
Jászvásári Gheorghe Asachi Műszaki Egyetem,Jászvásár,university_images/Jászvásári Gheorghe Asachi Műszaki Egyetem.webp
Jászvásári Ion Ionescu de la Brad Mezőgazdasági és Állatorvostudományi Egyetem,Jászvásár,university_images/Jászvásári Ion Ionescu de la Brad Mezőgazdasági és Állatorvostudományi Egyetem.webp
Jászvásári Alexandru Ioan Cuza Egyetem,Jászvásár,university_images/Jászvásári Alexandru Ioan Cuza Egyetem.webp
Jászvásári Grigore T. Popa Orvostudományi és Gyógyszerészeti Egyetem,Jászvásár,university_images/Jászvásári Grigore T. Popa Orvostudományi és Gyógyszerészeti Egyetem.webp
Jászvásári George Enescu Nemzeti Művészeti Egyetem,Jászvásár,university_images/Jászvásári George Enescu Nemzeti Művészeti Egyetem.webp
Jászvásári Petre Andrei Egyetem,Jászvásár,university_images/Jászvásári Petre Andrei Egyetem.webp
Jászvásári Apollonia Egyetem,Jászvásár,university_images/Jászvásári Apollonia Egyetem.webp
Dimitrie Cantemir Keresztény Egyetem,Konstanca,university_images/Dimitrie Cantemir Keresztény Egyetem.webp
Spiru Haret Egyetem,Konstanca,university_images/Spiru Haret Egyetem.webp
Konstancai Ovidius Egyetem,Konstanca,university_images/Konstancai Ovidius Egyetem.webp
Konstancai Tengerészeti Egyetem,Konstanca,university_images/Konstancai Tengerészeti Egyetem.webp
Andrei Șaguna Egyetem,Konstanca,university_images/Andrei Șaguna Egyetem.webp
Mircea Cel Bătrân Tengerészeti Akadémia,Konstanca,university_images/Mircea Cel Bătrân Tengerészeti Akadémia.webp
Tomis Egyetem,Konstanca,university_images/Tomis Egyetem.webp
Spiru Haret Egyetem,Krajova,university_images/Spiru Haret Egyetem.webp
Krajovai Egyetem,Krajova,university_images/Krajovai Egyetem.webp
Krajovai Orvostudomáyni és Gyógyszerészeti Egyetem,Krajova,university_images/Krajovai Orvostudomáyni és Gyógyszerészeti Egyetem.webp
Lugosi Drăgan Európai Egyetem,Lugos,university_images/Lugosi Drăgan Európai Egyetem.webp
Temesvári Victor Babeș Orvostudományi és Gyógszerészeti Egyetem,Lugos,university_images/Temesvári Victor Babeș Orvostudományi és Gyógszerészeti Egyetem.webp
Babeş-Bolyai Tudományegyetem,Kolozsvár,university_images/Babeş-Bolyai Tudományegyetem.webp
Kolozsvári Protestáns Teológiai Intézet,Kolozsvár,university_images/Kolozsvári Protestáns Teológiai Intézet.webp
Sapientia Erdélyi Magyar Tudományegyetem,Kolozsvár,university_images/Sapientia Erdélyi Magyar Tudományegyetem.webp
Dimitrie Cantemir Keresztény Egyetem,Kolozsvár,university_images/Dimitrie Cantemir Keresztény Egyetem.webp
Kolozsvári Műszaki Egyetem,Kolozsvár,university_images/Kolozsvári Műszaki Egyetem.webp
Kolozsvári Agrártudományi és Állatorvostudományi Egyetem,Kolozsvár,university_images/Kolozsvári Agrártudományi és Állatorvostudományi Egyetem.webp
Iuliu Hațieganu Orvostudomány és Gyógyszerészeti Egyetem,Kolozsvár,university_images/Iuliu Hațieganu Orvostudomány és Gyógyszerészeti Egyetem.webp
Gheorghe Dima Zeneakadémia,Kolozsvár,university_images/Gheorghe Dima Zeneakadémia.webp
Kolozsvári Művészeti és Formatervezési Egyetem,Kolozsvár,university_images/Kolozsvári Művészeti és Formatervezési Egyetem.webp
Bogdan-Vodă Egyetem,Kolozsvár,university_images/Bogdan-Vodă Egyetem.webp
Babeş-Bolyai Tudományegyetem,Kézdivásárhely,university_images/Babeş-Bolyai Tudományegyetem.webp
Kolozsvári Műszaki Egyetem,Nagybánya,university_images/Kolozsvári Műszaki Egyetem.webp
Nagyváradi Egyetem,Nagyvárad,university_images/Nagyváradi Egyetem.webp
Partiumi Keresztény Egyetem,Nagyvárad,university_images/Partiumi Keresztény Egyetem.webp
Nagyváradi Agora Egyetem,Nagyvárad,university_images/Nagyváradi Agora Egyetem.webp
Nagyváradi Emanuel Egyetem,Nagyvárad,university_images/Nagyváradi Emanuel Egyetem.webp
Babeş-Bolyai Tudományegyetem,Máramarossziget,university_images/Babeş-Bolyai Tudományegyetem.webp
Petrozsényi Egyetem,Petrozsény,university_images/Petrozsényi Egyetem.webp
Pitești Egyetem,Pitești,university_images/Pitești Egyetem.webp
Constantin Brâncoveanu Egyetem,Pitești,university_images/Constantin Brâncoveanu Egyetem.webp
Ploiești-i Petrol-Gaz Egyetem,Ploiești,university_images/Ploiești-i Petrol-Gaz Egyetem.webp
Babeş-Bolyai Tudományegyetem,Naszód,university_images/Babeş-Bolyai Tudományegyetem.webp
Babeş-Bolyai Tudományegyetem,Nagyszeben,university_images/Babeş-Bolyai Tudományegyetem.webp
Ion Mincu Építészeti és Urbanisztikai Egyetem,Nagyszeben,university_images/Ion Mincu Építészeti és Urbanisztikai Egyetem.webp
Dimitrie Cantemir Keresztény Egyetem,Nagyszeben,university_images/Dimitrie Cantemir Keresztény Egyetem.webp
Nagyszebeni Lucian Blaga Egyetem,Nagyszeben,university_images/Nagyszebeni Lucian Blaga Egyetem.webp
Nagyszebeni Román-Német Egyetem,Nagyszeben,university_images/Nagyszebeni Román-Német Egyetem.webp
Nagyszebeni  Nicolae Balcescu Szárazföldi Erők Akadémiája,Nagyszeben,university_images/Nagyszebeni  Nicolae Balcescu Szárazföldi Erők Akadémiája.webp
Constantin Brâncoveanu Egyetem,Râmnicu Vâlcea,university_images/Constantin Brâncoveanu Egyetem.webp
Resicabányai Eftimie Murgu Egyetem,Resicabánya,university_images/Resicabányai Eftimie Murgu Egyetem.webp
Római-Katolikus Ferences Teológiai Intézet,Románvásár,university_images/Római-Katolikus Ferences Teológiai Intézet.webp
Mezőgazdasági és Állatorvosi Egyetem,Slatina,university_images/Mezőgazdasági és Állatorvosi Egyetem.webp
Szucsávai Ștefan cel Mare Egyetem,Szucsáva,university_images/Szucsávai Ștefan cel Mare Egyetem.webp
Babeş-Bolyai Tudományegyetem,Sepsiszentgyörgy,university_images/Babeş-Bolyai Tudományegyetem.webp
Sapientia Erdélyi Magyar Tudományegyetem,Sepsiszentgyörgy,university_images/Sapientia Erdélyi Magyar Tudományegyetem.webp
Târgoviște-i  Valahia Egyetem,Târgoviște,university_images/Târgoviște-i  Valahia Egyetem.webp
Babeş-Bolyai Tudományegyetem,Székelyudvarhely,university_images/Babeş-Bolyai Tudományegyetem.webp
Székelyudvarhelyi Egyetemi Központ,Székelyudvarhely,university_images/Székelyudvarhelyi Egyetemi Központ.webp
Babeş-Bolyai Tudományegyetem,Szatmárnémeti,university_images/Babeş-Bolyai Tudományegyetem.webp
Kolozsvári Műszaki Egyetem,Szatmárnémeti,university_images/Kolozsvári Műszaki Egyetem.webp
Temesvári Műszaki Egyetem,Vajdahunyad,university_images/Temesvári Műszaki Egyetem.webp
Dimitrie Cantemir Keresztény Egyetem,Temesvár,university_images/Dimitrie Cantemir Keresztény Egyetem.webp
Temesvári Műszaki Egyetem,Temesvár,university_images/Temesvári Műszaki Egyetem.webp
Bánsági Regele Mihai I Al României Mezőgazdasági és Állatorvostudományi Egyetem,Temesvár,university_images/Bánsági Regele Mihai I Al României Mezőgazdasági és Állatorvostudományi Egyetem.webp
Temesvári Nyugati Egyetem,Temesvár,university_images/Temesvári Nyugati Egyetem.webp
Temesvári Victor Babeș Orvostudományi és Gyógszerészeti Egyetem,Temesvár,university_images/Temesvári Victor Babeș Orvostudományi és Gyógszerészeti Egyetem.webp
Temesvári Tibiscus Egyetem,Temesvár,university_images/Temesvári Tibiscus Egyetem.webp
Ioan Slavici Egyetem,Temesvár,university_images/Ioan Slavici Egyetem.webp
Titu Maiorescu Egyetem,Zsilvásárhely,university_images/Titu Maiorescu Egyetem.webp
Zsilvásárhelyi Constantin Brâncuși Egyetem,Zsilvásárhely,university_images/Zsilvásárhelyi Constantin Brâncuși Egyetem.webp
Babeş-Bolyai Tudományegyetem,Zilah,university_images/Babeş-Bolyai Tudományegyetem.webp
Kolozsvári Műszaki Egyetem,Zilah,university_images/Kolozsvári Műszaki Egyetem.webp
