name,location,google_link
Resicabányai Eftimie Murgu Egyetem,Resicabánya,n
Római-Katolikus Ferences Teológiai Intézet,Románvásár,n
Babeş-Bolyai Tudományegyetem,Sepsiszentgyörgy,n
Sapientia Erdélyi Magyar Tudományegyetem,Sepsiszentgyörgy,n
Mezőgazdasági és Állatorvosi Egyetem,Slatina,n
Babeş-Bolyai Tudományegyetem,Szatmárnémeti,n
Kolozsvári Műszaki Egyetem,Szatmárnémeti,n
Babeş-Bolyai Tudományegyetem,Székelyudvarhely,n
Székelyudvarhelyi Egyetemi Központ,Székelyudvarhely,n
Szucsávai Ștefan cel Mare Egyetem,Szucsáva,n
Târgoviște-i  Valahia Egyetem,Târgoviște,n
Dimitrie Cantemir Keresztény Egyetem,Temesvár,n
Temesvári Műszaki Egyetem,Temesvár,n
Bánsági Regele Mihai I Al României Mezőgazdasági és Állatorvostudományi Egyetem,Temesvár,n
Temesvári Nyugati Egyetem,Temesvár,n
Temesvári Victor Babeș Orvostudományi és Gyógszerészeti Egyetem,Temesvár,n
Temesvári Tibiscus Egyetem,Temesvár,n
Ioan Slavici Egyetem,Temesvár,n
Temesvári Műszaki Egyetem,Vajdahunyad,n
Babeş-Bolyai Tudományegyetem,Zilah,n
Kolozsvári Műszaki Egyetem,Zilah,n
Titu Maiorescu Egyetem,Zsilvásárhely,n
Zsilvásárhelyi Constantin Brâncuși Egyetem,Zsilvásárhely,n
